order_id,customer_id,product_id,quantity,unit_price,total_amount,payment_method,order_status,order_date,delivery_date
O000001,C00118,P0098,3,56.28,168.84,Card,Pending,2026-05-15 13:26:23.458425,2026-05-25 13:26:23.458425
O000002,C00866,P0072,5,129.07,645.35,Cash,Cancelled,2025-11-08 23:53:58.000284,2025-11-18 23:53:58.000284
O000003,C00571,P0004,5,466.76,2333.8,Card,Completed,2026-06-12 10:15:38.605684,2026-06-17 10:15:38.605684
O000004,C00280,P0090,3,216.25,648.75,UPI,Completed,2025-11-13 00:11:05.028771,2025-11-19 00:11:05.028771
O000005,C00186,P0019,5,87.35,436.75,Card,Completed,2026-03-17 07:45:36.364658,2026-03-24 07:45:36.364658
O000006,C00759,P0082,1,450.14,450.14,Cash,Cancelled,2025-08-29 19:27:01.503103,2025-08-31 19:27:01.503103
O000007,C00221,P0049,4,270.6,1082.4,UPI,Completed,2026-05-30 16:24:44.759966,2026-06-07 16:24:44.759966
O000008,C00379,P0040,3,367.52,1102.56,Cash,Completed,2026-03-03 18:54:50.570656,2026-03-13 18:54:50.570656
O000009,C00905,P0007,2,494.26,988.52,Cash,Completed,2026-03-01 07:11:16.347413,2026-03-04 07:11:16.347413
O000010,C00691,P0011,3,207.94,623.82,Cash,Pending,2025-09-25 14:27:28.959454,2025-10-03 14:27:28.959454
O000011,C00498,P0078,4,114.67,458.68,UPI,Completed,2026-01-04 05:37:20.771164,2026-01-11 05:37:20.771164
O000012,C00774,P0066,1,333.07,333.07,UPI,Completed,2026-06-18 13:46:35.140473,2026-06-24 13:46:35.140473
O000013,C00291,P0087,5,361.82,1809.1,Cash,Cancelled,2026-04-11 00:22:00.643849,2026-04-19 00:22:00.643849
O000014,C00316,P0006,2,10.0,20.0,Cash,Completed,2025-09-16 10:03:02.665007,2025-09-23 10:03:02.665007
O000015,C00008,P0027,3,340.42,1021.26,Card,Pending,2025-07-16 02:20:11.272212,2025-07-20 02:20:11.272212
O000016,C00297,P0042,1,394.32,394.32,UPI,Cancelled,2026-01-24 15:32:55.575763,2026-01-25 15:32:55.575763
O000017,C00441,P0023,2,91.66,183.32,Cash,Cancelled,2025-08-03 17:14:08.539432,2025-08-10 17:14:08.539432
O000018,C00236,P0065,5,474.76,2373.8,Card,Pending,2026-01-22 13:22:15.840640,2026-01-28 13:22:15.840640
O000019,C00883,P0095,1,168.17,168.17,Card,Pending,2026-06-03 23:27:02.108865,2026-06-10 23:27:02.108865
O000020,C00944,P0010,3,265.35,796.05,UPI,Cancelled,2026-03-01 01:25:24.977103,2026-03-11 01:25:24.977103
O000021,C00415,P0091,4,477.03,1908.12,Card,Pending,2026-02-21 23:45:18.015261,2026-02-26 23:45:18.015261
O000022,C00022,P0042,2,394.32,788.64,UPI,Cancelled,2026-07-01 01:32:47.789913,2026-07-11 01:32:47.789913
O000023,C00942,P0047,1,483.8,483.8,Card,Completed,2025-09-23 03:15:53.478027,2025-09-30 03:15:53.478027
O000024,C00447,P0076,4,374.1,1496.4,Card,Pending,2025-09-04 05:54:52.455354,2025-09-13 05:54:52.455354
O000025,C00892,P0040,3,367.52,1102.56,UPI,Completed,2025-08-04 08:30:20.317659,2025-08-08 08:30:20.317659
O000026,C00079,P0066,1,333.07,333.07,Cash,Completed,2026-05-10 10:07:35.727229,2026-05-19 10:07:35.727229
O000027,C00928,P0100,3,423.46,1270.38,Cash,Cancelled,2026-03-28 06:27:56.964994,2026-04-03 06:27:56.964994
O000028,C00835,P0019,2,87.35,174.7,Card,Pending,2025-07-27 12:03:44.161634,2025-07-29 12:03:44.161634
